algorithm,run,best_f,x1,x2,dist_to_opt,success,runtime_s,iters
GD_Momentum,4,10.34554,3.055137,-0.046037,3.055484,0,0.0418,5000
GD_Momentum,5,1.183217,0.011567,0.077104,0.077967,0,0.0416,5000
GD_Momentum,6,18.873927,-4.064864,-1.04713,4.197571,0,0.0411,5000
GD_Momentum,7,6.448758,-2.061739,1.043232,2.310649,0,0.0409,5000
GD_Momentum,8,16.595027,-1.148185,2.19209,2.474588,0,0.0404,5000
GD_Momentum,9,20.527986,1.242082,-2.163037,2.494293,0,0.042,5000
GD_Momentum,10,15.27005,1.729794,-1.004146,2.000124,0,0.0406,5000
GD_Momentum,11,12.979693,3.107429,-1.021127,3.270904,0,0.0401,5000
GD_Momentum,12,40.81379,4.967138,3.98679,6.369219,0,0.0423,5000
GD_Momentum,13,22.84873,2.015437,-1.370358,2.437184,0,0.041,5000
GD_Momentum,14,26.209354,-0.993028,-5.016178,5.113526,0,0.0405,5000
GD_Momentum,15,4.99398,-0.025802,1.92235,1.922523,0,0.0416,5000
GD_Momentum,16,26.288308,-2.031597,4.16028,4.629829,0,0.0411,5000
GD_Momentum,17,20.290166,-1.867333,-1.742192,2.553853,0,0.0402,5000
GD_Momentum,18,4.973874,-0.977681,0.145558,0.988457,0,0.0421,5000
GD_Momentum,19,25.900803,-0.034966,5.037762,5.037884,0,0.0426,5000
GD_Momentum,20,2.589897,-1.045688,0.074708,1.048354,0,0.0408,5000
GD_Momentum,21,13.093874,-1.123668,2.990648,3.194778,0,0.041,5000
GD_Momentum,22,7.997349,2.002619,-1.984554,2.819387,0,0.0427,5000
GD_Momentum,23,24.15485,-0.925281,-2.664504,2.82059,0,0.0417,5000
GD_Momentum,24,9.485258,-2.163007,0.004728,2.163013,0,0.0411,5000
GD_Momentum,25,17.468973,0.083611,-3.948182,3.949068,0,0.0421,5000
GD_Momentum,26,28.771972,-0.016305,-4.825463,4.825491,0,0.0421,5000
GD_Momentum,27,10.060574,2.997731,0.975073,3.152326,0,0.0411,5000
GD_Momentum,28,16.87849,1.859506,2.919687,3.461551,0,0.042,5000
GD_Momentum,29,12.713745,2.101303,-0.189748,2.109853,0,0.0426,5000
GD_Momentum,30,31.84606,-3.975603,-3.984366,5.628551,0,0.0418,5000
SA,1,7.997959,1.993433,-1.976442,2.807151,0,0.0129,2297
SA,2,10.380884,3.031193,1.000618,3.192078,0,0.0143,2297
SA,3,24.883388,-4.967716,0.000886,4.967716,0,0.0131,2297
SA,4,12.959079,1.981071,2.978028,3.576772,0,0.014,2297
SA,5,0.291477,-0.00522,-0.038063,0.038419,0,0.0138,2297
SA,6,5.102756,-1.01905,1.997984,2.242856,0,0.0132,2297
SA,7,1.018622,0.00113,1.005822,1.005823,0,0.014,2297
SA,8,11.276227,-1.046578,-2.920313,3.102185,0,0.0131,2297
SA,9,15.921931,0.002341,-3.976932,3.976933,0,0.014,2297
SA,10,13.72294,1.932697,2.956988,3.532576,0,0.0122,2297
SA,11,2.010267,0.99906,-1.00422,1.416537,0,0.0145,2297
SA,12,31.840302,3.97708,3.981168,5.627332,0,0.0132,2297
SA,13,6.959976,1.05792,-2.068341,2.323193,0,0.013,2297
SA,14,16.914281,-0.994786,-3.980392,4.102818,0,0.014,2297
SA,15,1.015347,-0.991597,-0.009565,0.991643,0,0.013,2297
SA,16,14.570924,-1.93253,2.912692,3.49549,0,0.014,2297
SA,17,0.996916,0.997762,0.001418,0.997763,0,0.0131,2297
SA,18,10.377944,-0.082628,-2.962414,2.963567,0,0.0141,2297
SA,19,5.535095,-2.071208,-0.036342,2.071526,0,0.0125,2297
SA,20,13.613081,-2.986426,2.04854,3.621499,0,0.0145,2297
SA,21,0.9996,-0.994587,-0.004823,0.994598,0,0.013,2297
SA,22,7.961682,1.991957,-1.992365,2.817341,0,0.0135,2297
SA,23,8.979411,2.056452,1.962479,2.84259,0,0.0137,2297
SA,24,3.240512,0.975034,-0.917107,1.338572,0,0.0135,2297
SA,25,4.977838,0.992392,-1.986946,2.22099,0,0.0139,2297
SA,26,19.940481,-1.998433,-3.991485,4.46382,0,0.0126,2297
SA,27,5.033438,1.97477,0.986743,2.207573,0,0.0145,2297
SA,28,7.847979,1.046581,2.100184,2.346509,0,0.013,2297
SA,29,1.469468,0.021563,-0.950839,0.951084,0,0.013,2297
SA,30,17.917463,-2.990126,-2.981109,4.222306,0,0.013,2297
