config,run,best_fit,solved,gen_found,runtime_s,pop_size,mutation,tournament
mut=0.05,16,28,1,5,0.013,100,0.05,3
mut=0.05,17,28,1,1,0.003,100,0.05,3
mut=0.05,18,28,1,7,0.017,100,0.05,3
mut=0.05,19,28,1,2,0.005,100,0.05,3
mut=0.05,20,28,1,1,0.003,100,0.05,3
mut=0.05,21,28,1,1,0.0037,100,0.05,3
mut=0.05,22,28,1,9,0.0211,100,0.05,3
mut=0.05,23,28,1,54,0.1276,100,0.05,3
mut=0.05,24,28,1,1,0.0032,100,0.05,3
mut=0.05,25,28,1,0,0.001,100,0.05,3
mut=0.05,26,28,1,5,0.012,100,0.05,3
mut=0.05,27,28,1,1,0.003,100,0.05,3
mut=0.05,28,28,1,42,0.0993,100,0.05,3
mut=0.05,29,28,1,1,0.003,100,0.05,3
mut=0.05,30,28,1,1,0.003,100,0.05,3
mut=0.10,1,28,1,7,0.017,100,0.1,3
mut=0.10,2,28,1,6,0.0145,100,0.1,3
mut=0.10,3,28,1,1,0.004,100,0.1,3
mut=0.10,4,28,1,3,0.007,100,0.1,3
mut=0.10,5,28,1,0,0.001,100,0.1,3
mut=0.10,6,28,1,1,0.003,100,0.1,3
mut=0.10,7,28,1,1,0.003,100,0.1,3
mut=0.10,8,28,1,17,0.041,100,0.1,3
mut=0.10,9,28,1,1,0.003,100,0.1,3
mut=0.10,10,28,1,2,0.005,100,0.1,3
mut=0.10,11,28,1,6,0.015,100,0.1,3
mut=0.10,12,28,1,1,0.003,100,0.1,3
mut=0.10,13,28,1,0,0.001,100,0.1,3
mut=0.10,14,28,1,0,0.0,100,0.1,3
mut=0.10,15,28,1,0,0.001,100,0.1,3
mut=0.10,16,28,1,27,0.0645,100,0.1,3
mut=0.10,17,28,1,1,0.003,100,0.1,3
mut=0.10,18,28,1,2,0.005,100,0.1,3
mut=0.10,19,28,1,2,0.006,100,0.1,3
mut=0.10,20,28,1,12,0.029,100,0.1,3
mut=0.10,21,28,1,1,0.003,100,0.1,3
mut=0.10,22,28,1,2,0.0055,100,0.1,3
mut=0.10,23,28,1,3,0.008,100,0.1,3
mut=0.10,24,28,1,3,0.008,100,0.1,3
mut=0.10,25,28,1,0,0.0,100,0.1,3
mut=0.10,26,28,1,10,0.025,100,0.1,3
mut=0.10,27,28,1,2,0.005,100,0.1,3
mut=0.10,28,28,1,5,0.013,100,0.1,3
mut=0.10,29,28,1,1,0.003,100,0.1,3
mut=0.10,30,28,1,5,0.013,100,0.1,3
mut=0.20,1,28,1,3,0.008,100,0.2,3
mut=0.20,2,28,1,7,0.0175,100,0.2,3
mut=0.20,3,28,1,4,0.011,100,0.2,3
mut=0.20,4,28,1,1,0.003,100,0.2,3
mut=0.20,5,28,1,0,0.001,100,0.2,3
mut=0.20,6,28,1,2,0.005,100,0.2,3
mut=0.20,7,28,1,3,0.009,100,0.2,3
mut=0.20,8,28,1,36,0.0865,100,0.2,3
mut=0.20,9,28,1,6,0.015,100,0.2,3
mut=0.20,10,28,1,3,0.008,100,0.2,3
mut=0.20,11,28,1,6,0.016,100,0.2,3
mut=0.20,12,28,1,1,0.003,100,0.2,3
mut=0.20,13,28,1,0,0.0,100,0.2,3
mut=0.20,14,28,1,0,0.001,100,0.2,3
mut=0.20,15,28,1,0,0.001,100,0.2,3
mut=0.20,16,28,1,2,0.005,100,0.2,3
mut=0.20,17,28,1,3,0.008,100,0.2,3
mut=0.20,18,28,1,4,0.011,100,0.2,3
mut=0.20,19,28,1,2,0.005,100,0.2,3
mut=0.20,20,28,1,1,0.003,100,0.2,3
mut=0.20,21,28,1,1,0.0035,100,0.2,3
mut=0.20,22,28,1,6,0.015,100,0.2,3
mut=0.20,23,28,1,8,0.02,100,0.2,3
mut=0.20,24,28,1,2,0.006,100,0.2,3
mut=0.20,25,28,1,0,0.0,100,0.2,3
mut=0.20,26,28,1,5,0.013,100,0.2,3
mut=0.20,27,28,1,10,0.025,100,0.2,3
mut=0.20,28,28,1,4,0.01,100,0.2,3
mut=0.20,29,28,1,1,0.003,100,0.2,3
mut=0.20,30,28,1,3,0.0085,100,0.2,3
tour=2,1,28,1,3,0.008,100,0.1,2
tour=2,2,28,1,6,0.014,100,0.1,2
tour=2,3,28,1,3,0.008,100,0.1,2
tour=2,4,28,1,7,0.017,100,0.1,2
tour=2,5,28,1,0,0.001,100,0.1,2
tour=2,6,28,1,2,0.005,100,0.1,2
tour=2,7,28,1,2,0.005,100,0.1,2
tour=2,8,28,1,3,0.008,100,0.1,2
