algorithm,run,best_f,x1,x2,dist_to_opt,success,runtime_s,iters
GD_Decaying,14,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.035,5000
GD_Decaying,15,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,16,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.0365,5000
GD_Decaying,17,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,18,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,19,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.0365,5000
GD_Decaying,20,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,21,1e-06,5.8e-05,5.8e-05,8.2e-05,1,0.0362,5000
GD_Decaying,22,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,23,1e-06,5.8e-05,5.8e-05,8.2e-05,1,0.037,5000
GD_Decaying,24,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.0355,5000
GD_Decaying,25,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,26,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,27,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.0355,5000
GD_Decaying,28,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,29,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.0362,5000
GD_Decaying,30,1e-06,5.8e-05,5.8e-05,8.2e-05,1,0.0353,5000
GD_Momentum,1,26.090234,1.426351,-0.844716,1.657716,0,0.04,5000
GD_Momentum,2,19.97078,3.996784,1.981312,4.460928,0,0.0382,5000
GD_Momentum,3,29.495266,-0.015603,4.810161,4.810186,0,0.04,5000
GD_Momentum,4,10.34554,3.055137,-0.046037,3.055484,0,0.039,5000
GD_Momentum,5,1.183217,0.011567,0.077104,0.077967,0,0.0391,5000
GD_Momentum,6,18.873927,-4.064864,-1.04713,4.197571,0,0.039,5000
GD_Momentum,7,6.448758,-2.061739,1.043232,2.310649,0,0.0395,5000
GD_Momentum,8,16.595027,-1.148185,2.19209,2.474588,0,0.04,5000
GD_Momentum,9,20.527986,1.242082,-2.163037,2.494293,0,0.04,5000
GD_Momentum,10,15.27005,1.729794,-1.004146,2.000124,0,0.0385,5000
GD_Momentum,11,12.979693,3.107429,-1.021127,3.270904,0,0.04,5000
GD_Momentum,12,40.81379,4.967138,3.98679,6.369219,0,0.039,5000
GD_Momentum,13,22.84873,2.015437,-1.370358,2.437184,0,0.039,5000
GD_Momentum,14,26.209354,-0.993028,-5.016178,5.113526,0,0.04,5000
GD_Momentum,15,4.99398,-0.025802,1.92235,1.922523,0,0.0403,5000
GD_Momentum,16,26.288308,-2.031597,4.16028,4.629829,0,0.039,5000
GD_Momentum,17,20.290166,-1.867333,-1.742192,2.553853,0,0.039,5000
GD_Momentum,18,4.973874,-0.977681,0.145558,0.988457,0,0.0392,5000
GD_Momentum,19,25.900803,-0.034966,5.037762,5.037884,0,0.04,5000
GD_Momentum,20,2.589897,-1.045688,0.074708,1.048354,0,0.0385,5000
GD_Momentum,21,13.093874,-1.123668,2.990648,3.194778,0,0.04,5000
GD_Momentum,22,7.997349,2.002619,-1.984554,2.819387,0,0.04,5000
GD_Momentum,23,24.15485,-0.925281,-2.664504,2.82059,0,0.0385,5000
GD_Momentum,24,9.485258,-2.163007,0.004728,2.163013,0,0.04,5000
GD_Momentum,25,17.468973,0.083611,-3.948182,3.949068,0,0.0395,5000
GD_Momentum,26,28.771972,-0.016305,-4.825463,4.825491,0,0.039,5000
GD_Momentum,27,10.060574,2.997731,0.975073,3.152326,0,0.04,5000
GD_Momentum,28,16.87849,1.859506,2.919687,3.461551,0,0.0395,5000
GD_Momentum,29,12.713745,2.101303,-0.189748,2.109853,0,0.039,5000
GD_Momentum,30,31.84606,-3.975603,-3.984366,5.628551,0,0.0391,5000
SA,1,3.989565,1.989787,-0.007004,1.989799,0,0.0184,2297
SA,2,7.968378,1.983498,1.988205,2.80842,0,0.013,2297
SA,3,13.016254,-3.00402,1.983131,3.599576,0,0.013,2297
SA,4,15.131441,1.929011,2.896461,3.480025,0,0.013,2297
SA,5,10.032147,-2.964524,-0.992317,3.126195,0,0.013,2297
SA,6,7.967742,-1.983522,1.989829,2.809587,0,0.013,2297
SA,7,4.993305,0.990181,1.998315,2.230184,0,0.0125,2297
SA,8,9.950247,-0.995436,-2.983053,3.144757,0,0.012,2297
SA,9,15.933746,-0.008239,-3.977487,3.977495,0,0.013,2297
SA,10,24.89384,4.970853,-0.009322,4.970862,0,0.012,2297
SA,11,9.362871,2.053588,-1.934177,2.82104,0,0.013,2297
SA,12,5.075321,1.012807,1.976161,2.220583,0,0.013,2297
SA,13,10.63485,1.890992,-2.054585,2.792342,0,0.013,2297
SA,14,5.018868,-0.995967,-1.975006,2.211922,0,0.013,2297
SA,15,1.053666,0.002387,1.011997,1.012,0,0.0125,2297
SA,16,16.947455,1.005824,3.972707,4.098059,0,0.013,2297
SA,17,4.983404,1.988287,-1.001346,2.226203,0,0.013,2297
SA,18,9.413957,2.005869,-2.074635,2.885762,0,0.013,2297
SA,19,5.02456,-1.005128,-2.002061,2.240208,0,0.013,2297
SA,20,5.105641,-0.074564,1.975204,1.976611,0,0.013,2297
SA,21,0.007676,0.005262,-0.003317,0.00622,0,0.012,2297
SA,22,5.681048,1.996803,-0.935211,2.204958,0,0.0135,2297
SA,23,13.022868,2.976162,1.970604,3.569428,0,0.012,2297
SA,24,2.020954,-1.0043,-1.003278,1.419572,0,0.013,2297
SA,25,2.047437,0.978967,-1.000858,1.400033,0,0.013,2297
SA,26,10.077344,-1.019566,-2.978587,3.148253,0,0.013,2297
SA,27,13.662983,2.944314,1.944207,3.528304,0,0.013,2297
SA,28,4.670561,-0.005898,2.048786,2.048794,0,0.013,2297
SA,29,0.007783,0.000916,0.006197,0.006264,0,0.012,2297
SA,30,16.938473,-3.987634,-1.002775,4.111786,0,0.0135,2297
